wedge_grid_test
22-Aug-2014 11:41:30

WEDGE_GRID_TEST:
  MATLAB version
  Test the WEDGE_GRID library.

WEDGE_GRID_TEST01
  WEDGE_GRID can define a grid of points
  with N+1 points on a side
  over the interior of the unit wedge in 3D.

  Grid order N = 5
  Grid count NG = 126

     J      X                Y               Z

     1               0               0              -1
     2             0.2               0              -1
     3             0.4               0              -1
     4             0.6               0              -1
     5             0.8               0              -1
     6               1               0              -1
     7               0             0.2              -1
     8             0.2             0.2              -1
     9             0.4             0.2              -1
    10             0.6             0.2              -1
    11             0.8             0.2              -1
    12               0             0.4              -1
    13             0.2             0.4              -1
    14             0.4             0.4              -1
    15             0.6             0.4              -1
    16               0             0.6              -1
    17             0.2             0.6              -1
    18             0.4             0.6              -1
    19               0             0.8              -1
    20             0.2             0.8              -1
    21               0               1              -1
    22               0               0            -0.6
    23             0.2               0            -0.6
    24             0.4               0            -0.6
    25             0.6               0            -0.6
    26             0.8               0            -0.6
    27               1               0            -0.6
    28               0             0.2            -0.6
    29             0.2             0.2            -0.6
    30             0.4             0.2            -0.6
    31             0.6             0.2            -0.6
    32             0.8             0.2            -0.6
    33               0             0.4            -0.6
    34             0.2             0.4            -0.6
    35             0.4             0.4            -0.6
    36             0.6             0.4            -0.6
    37               0             0.6            -0.6
    38             0.2             0.6            -0.6
    39             0.4             0.6            -0.6
    40               0             0.8            -0.6
    41             0.2             0.8            -0.6
    42               0               1            -0.6
    43               0               0            -0.2
    44             0.2               0            -0.2
    45             0.4               0            -0.2
    46             0.6               0            -0.2
    47             0.8               0            -0.2
    48               1               0            -0.2
    49               0             0.2            -0.2
    50             0.2             0.2            -0.2
    51             0.4             0.2            -0.2
    52             0.6             0.2            -0.2
    53             0.8             0.2            -0.2
    54               0             0.4            -0.2
    55             0.2             0.4            -0.2
    56             0.4             0.4            -0.2
    57             0.6             0.4            -0.2
    58               0             0.6            -0.2
    59             0.2             0.6            -0.2
    60             0.4             0.6            -0.2
    61               0             0.8            -0.2
    62             0.2             0.8            -0.2
    63               0               1            -0.2
    64               0               0             0.2
    65             0.2               0             0.2
    66             0.4               0             0.2
    67             0.6               0             0.2
    68             0.8               0             0.2
    69               1               0             0.2
    70               0             0.2             0.2
    71             0.2             0.2             0.2
    72             0.4             0.2             0.2
    73             0.6             0.2             0.2
    74             0.8             0.2             0.2
    75               0             0.4             0.2
    76             0.2             0.4             0.2
    77             0.4             0.4             0.2
    78             0.6             0.4             0.2
    79               0             0.6             0.2
    80             0.2             0.6             0.2
    81             0.4             0.6             0.2
    82               0             0.8             0.2
    83             0.2             0.8             0.2
    84               0               1             0.2
    85               0               0             0.6
    86             0.2               0             0.6
    87             0.4               0             0.6
    88             0.6               0             0.6
    89             0.8               0             0.6
    90               1               0             0.6
    91               0             0.2             0.6
    92             0.2             0.2             0.6
    93             0.4             0.2             0.6
    94             0.6             0.2             0.6
    95             0.8             0.2             0.6
    96               0             0.4             0.6
    97             0.2             0.4             0.6
    98             0.4             0.4             0.6
    99             0.6             0.4             0.6
   100               0             0.6             0.6
   101             0.2             0.6             0.6
   102             0.4             0.6             0.6
   103               0             0.8             0.6
   104             0.2             0.8             0.6
   105               0               1             0.6
   106               0               0               1
   107             0.2               0               1
   108             0.4               0               1
   109             0.6               0               1
   110             0.8               0               1
   111               1               0               1
   112               0             0.2               1
   113             0.2             0.2               1
   114             0.4             0.2               1
   115             0.6             0.2               1
   116             0.8             0.2               1
   117               0             0.4               1
   118             0.2             0.4               1
   119             0.4             0.4               1
   120             0.6             0.4               1
   121               0             0.6               1
   122             0.2             0.6               1
   123             0.4             0.6               1
   124               0             0.8               1
   125             0.2             0.8               1
   126               0               1               1

  Data written to "wedge_grid.xy"

WEDGE_GRID_TEST02
  WEDGE_GRID_PLOT can create GNUPLOT data files
  for displaying a wedge grid.

  Grid order N = 5
  Grid count NG = 126

  Created vertex file "wedge_vertices.txt"
  Created node file "wedge_nodes.txt"
  Created command file "wedge_commands.txt"

WEDGE_GRID_TEST:
  Normal end of execution.

22-Aug-2014 11:41:30
diary off
